,ticker,Date,Posible_compra
34048,SO,2009-05-15,Sí
34049,SO,2009-08-14,Sí
34050,SO,2009-11-14,Sí
34051,SO,2010-02-14,No
34052,SO,2010-05-15,No
34053,SO,2010-08-14,No
34054,SO,2010-11-14,No
34055,SO,2011-02-14,No
34056,SO,2011-05-15,No
34057,SO,2011-08-14,No
34058,SO,2011-11-14,No
34059,SO,2012-02-14,No
34060,SO,2012-05-15,No
34061,SO,2012-08-14,No
34062,SO,2012-11-14,No
34063,SO,2013-02-14,No
34064,SO,2013-05-15,No
34065,SO,2013-08-14,No
34066,SO,2013-11-14,Sí
34067,SO,2014-02-14,Sí
34068,SO,2014-05-15,Sí
34069,SO,2014-08-14,No
34070,SO,2014-11-14,Sí
34071,SO,2015-02-14,No
34072,SO,2015-05-15,No
34073,SO,2015-08-14,No
34074,SO,2015-11-14,No
34075,SO,2016-02-14,No
34076,SO,2016-05-15,No
34077,SO,2016-08-14,No
34078,SO,2016-11-14,Sí
34079,SO,2017-02-14,No
34080,SO,2017-05-15,No
34081,SO,2017-08-14,No
34082,SO,2017-11-14,No
34083,SO,2018-02-14,No
34084,SO,2018-05-15,No
34085,SO,2018-08-14,No
34086,SO,2018-11-14,Sí
34087,SO,2019-02-14,No
34088,SO,2019-05-15,No
34089,SO,2019-08-14,No
34090,SO,2019-11-14,No
34091,SO,2020-02-14,No
34092,SO,2020-05-15,Sí
34093,SO,2020-08-14,Sí
34094,SO,2020-11-14,Sí
34095,SO,2021-02-14,No
34096,SO,2021-05-15,No
34097,SO,2021-08-14,No
34098,SO,2021-11-14,No
34099,SO,2022-02-14,No
34100,SO,2022-05-15,No
34101,SO,2022-08-14,No
34102,SO,2022-11-14,No
34103,SPG,2000-05-15,No
34104,SPG,2000-08-14,No
34105,SPG,2000-11-14,No
34106,SPG,2001-02-14,No
34107,SPG,2001-05-15,No
34108,SPG,2001-08-14,No
34109,SPG,2001-11-14,No
34110,SPG,2002-02-14,No
34111,SPG,2002-05-15,No
34112,SPG,2002-08-14,No
34113,SPG,2002-11-14,No
34114,SPG,2003-02-14,No
34115,SPG,2003-05-15,No
34116,SPG,2003-08-14,No
34117,SPG,2003-11-14,No
34118,SPG,2004-02-14,No
34119,SPG,2004-05-15,No
34120,SPG,2004-08-14,No
34121,SPG,2004-11-14,No
34122,SPG,2005-02-14,No
34123,SPG,2005-05-15,No
34124,SPG,2005-08-14,No
34125,SPG,2005-11-14,No
34126,SPG,2006-02-14,No
34127,SPG,2006-05-15,No
34128,SPG,2006-08-14,No
34129,SPG,2006-11-14,No
34130,SPG,2007-02-14,No
34131,SPG,2007-05-15,No
34132,SPG,2007-08-14,No
34133,SPG,2007-11-14,No
34134,SPG,2008-02-14,No
34135,SPG,2008-05-15,No
34136,SPG,2008-08-14,No
34137,SPG,2008-11-14,No
34138,SPG,2009-02-14,Sí
34139,SPG,2009-05-15,Sí
34140,SPG,2009-08-14,Sí
34141,SPG,2009-11-14,Sí
34142,SPG,2010-02-14,No
34143,SPG,2010-05-15,No
34144,SPG,2010-08-14,No
34145,SPG,2010-11-14,No
34146,SPG,2011-02-14,No
34147,SPG,2011-05-15,No
34148,SPG,2011-08-14,No
34149,SPG,2011-11-14,No
34150,SPG,2012-02-14,No
34151,SPG,2012-05-15,No
34152,SPG,2012-08-14,No
34153,SPG,2012-11-14,No
34154,SPG,2013-02-14,No
34155,SPG,2013-05-15,No
34156,SPG,2013-08-14,No
34157,SPG,2013-11-14,Sí
34158,SPG,2014-02-14,No
34159,SPG,2014-05-15,No
34160,SPG,2014-08-14,No
34161,SPG,2014-11-14,No
34162,SPG,2015-02-14,No
34163,SPG,2015-05-15,No
34164,SPG,2015-08-14,No
34165,SPG,2015-11-14,No
34166,SPG,2016-02-14,No
34167,SPG,2016-05-15,No
34168,SPG,2016-08-14,No
34169,SPG,2016-11-14,No
34170,SPG,2017-02-14,No
34171,SPG,2017-05-15,Sí
34172,SPG,2017-08-14,Sí
34173,SPG,2017-11-14,No
34174,SPG,2018-02-14,No
34175,SPG,2018-05-15,No
34176,SPG,2018-08-14,No
34177,SPG,2018-11-14,No
34178,SPG,2019-02-14,No
34179,SPG,2019-05-15,No
34180,SPG,2019-08-14,No
34181,SPG,2019-11-14,No
34182,SPG,2020-02-14,No
34183,SPG,2020-05-15,Sí
34184,SPG,2020-08-14,Sí
34185,SPG,2020-11-14,No
34186,SPG,2021-02-14,No
34187,SPG,2021-05-15,Sí
34188,SPG,2021-08-14,No
34189,SPG,2021-11-14,No
34190,SPG,2022-02-14,No
34191,SPG,2022-05-15,No
34192,SPG,2022-08-14,Sí
34193,SPG,2022-11-14,No
34194,SPGI,2000-05-15,No
34195,SPGI,2000-08-14,No
34196,SPGI,2000-11-14,No
34197,SPGI,2001-02-14,No
34198,SPGI,2001-05-15,No
34199,SPGI,2001-08-14,No
34200,SPGI,2001-11-14,No
34201,SPGI,2002-02-14,No
34202,SPGI,2002-05-15,No
34203,SPGI,2002-08-14,Sí
34204,SPGI,2002-11-14,Sí
34205,SPGI,2003-02-14,Sí
34206,SPGI,2003-05-15,Sí
34207,SPGI,2003-08-14,Sí
34208,SPGI,2003-11-14,Sí
34209,SPGI,2004-02-14,Sí
34210,SPGI,2004-05-15,No
34211,SPGI,2004-08-14,No
34212,SPGI,2004-11-14,Sí
34213,SPGI,2005-02-14,No
34214,SPGI,2005-05-15,No
34215,SPGI,2005-08-14,No
34216,SPGI,2005-11-14,No
34217,SPGI,2006-02-14,No
34218,SPGI,2006-05-15,No
34219,SPGI,2006-08-14,No
34220,SPGI,2006-11-14,No
34221,SPGI,2007-02-14,No
34222,SPGI,2007-05-15,No
34223,SPGI,2007-08-14,No
34224,SPGI,2007-11-14,No
34225,SPGI,2008-02-14,Sí
34226,SPGI,2008-05-15,No
34227,SPGI,2008-08-14,No
34228,SPGI,2008-11-14,Sí
34229,SPGI,2009-02-14,Sí
34230,SPGI,2009-05-15,Sí
34231,SPGI,2009-08-14,Sí
34232,SPGI,2009-11-14,Sí
34233,SPGI,2010-02-14,Sí
34234,SPGI,2010-05-15,Sí
34235,SPGI,2010-08-14,Sí
34236,SPGI,2010-11-14,Sí
34237,SPGI,2011-02-14,Sí
34238,SPGI,2011-05-15,Sí
34239,SPGI,2011-08-14,No
